Country,State Code,State Name,Town Code,Town Name
cn,,,412049808,Xiamen
cn,,,447400890,Xian
cn,,,424289290,Xiangtan
cn,,,447760870,Xianyang
cn,,,455860177,Xining
cn,,,448589917,Xinpu
cn,,,451181387,Xinxiang
cn,,,447401718,Xuzhou
cn,,,431956308,Yaan
cn,,,455788947,Yanan
cn,,,440669943,Yangzhou
cn,,,478398952,Yanji
cn,,,459138140,Yantai
cn,,,434549128,Yichang
cn,,,462520632,Yinchuan
cn,,,400349038,Zhanjiang
cn,,,407009245,Zhaoqing
cn,,,449129367,Zhengzhou
cn,,,440021943,Zhenjiang
ci,,,,-- please select
ci,,,343205597,Abidjan
ci,,,351701497,Bouaké
ci,,,348821355,Daloa
cm,,,,-- please select
cm,,,345475015,Bamenda
cm,,,342559051,Bangangté
cm,,,338994923,Buéa
cm,,,343675005,Djang
cm,,,338634971,Douala
cm,,,362107433,Maroua
cm,,,340831237,Nanga Eboko
cm,,,350371358,Ngaoundéré
cm,,,337951152,Yaoundé
cd,,,,-- please select
cd,,,312103738,Bandundu
cd,,,325784945,Beni
cd,,,314984884,Bukavu
cd,,,329637024,Bunia
cd,,,324488928,Butembo
cd,,,317936922,Goma
cd,,,333956762,Isiro
cd,,,292592501,Kamina
cd,,,305911881,Kikwit
cd,,,313400592,Kindu
cd,,,308503532,Kinshasa
cd,,,325928519,Kisangani
cd,,,285500566,Kolwezi
cd,,,282044748,Lubumbashi
cd,,,305119486,Mbanza-Ngungu
cd,,,301952359,Mbuji-Mayi
cg,,,,-- please select
cg,,,308719526,Brazzaville
ck,,,,-- please select
co,,,,-- please select
co,,,347626417,Antioquia
co,,,340318431,Armenia
co,,,349534615,Barrancabermeja
co,,,363466520,Barranquilla
co,,,340678591,Bogotá
co,,,349678687,Bucaramanga
co,,,346006435,Caldas
co,,,336394348,Cali
co,,,361450450,Cartagena
co,,,352378749,Cúcuta
co,,,346186444,Envigado
co,,,329806438,Florencia
co,,,340030476,Ibagué
co,,,342226448,Manizales
co,,,346654446,Medellín
co,,,355546411,Montería
co,,,334594473,Neiva
co,,,350614734,Pamplona
co,,,328366272,Pasto
co,,,341326432,Pereira
co,,,332722339,Popayán
co,,,344494334,Quibdó
co,,,365554709,Ríohacha
co,,,346186461,Ríonegro
co,,,342622423,Risaralda
co,,,364546581,Santa Marta
co,,,338734379,Tuluá
co,,,343990663,Tunja
co,,,361738675,Valledupar
co,,,338950636,Villavicencio
km,,,,-- please select
km,,,281830326,Mvouni
cv,,,,-- please select
cv,,,378339631,Assomada
cv,,,384819501,Mindelo
cv,,,377763646,Praia
cv,,,379023624,Tarrafal
cr,,,,-- please select
cr,,,360081577,Alajuela
cr,,,359541607,Cartago
cr,,,359721575,Colón
cr,,,360009588,Heredia
cr,,,359757592,San José
cu,,,,-- please select
cu,,,397378335,Bayamo
cu,,,401050209,Camagüey
cu,,,402670124,Ciego de Ávila
cu,,,403785955,Cienfuegos
cu,,,396550478,Guantánamo
cu,,,407277761,Havanna
cu,,,399214375,Holguín
cu,,,399502305,Las Tunas
cu,,,407025842,Matanzas
cu,,,398386508,Moa
cu,,,404685630,Pinar del Rio
cu,,,402958056,Sancti Spíritus
cu,,,404686003,Santa Clara
cu,,,396046418,Santiago de Cuba
cw,,,,-- please select
cw,,,367571107,Willemstad
cx,,,,-- please select
ky,,,,-- please select
ky,,,393417861,George Town
ky,,,10018,Newlands
cy,,,,-- please select
cy,,,450417394,Gazimağusa
cy,,,451209333,Girne
cy,,,450777342,Haspolat
cy,,,450417285,Lefka
cy,,,448869305,Lemesos
cy,,,450597338,Nicosia
cz,,,,-- please select
cz,,,501139661,Brno
cz,,,500347446,České Budějovice
cz,,,504811582,Hradec Králové
cz,,,506827506,Liberec
cz,,,502615725,Olomouc
